No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
139,ENV201Lec2,Principles Of Environmental Sciences,3,"IP, IP",HUB-112,R,9:00:00 AM,11:59:00 AM,42,11
140,ENV310Lec1,Biostatistics,3,"Price, Malcolm",MGT-203,T,1:00:00 PM,2:59:00 PM,32,8
,,,,"Price, Malcolm",General Computer Lab,W,1:00:00 PM,2:59:00 PM,32,8
141,ENV311Lec1,Entomology And Pest Control Management,3,"IP, IP",MGT-103,T,3:00:00 PM,5:59:00 PM,30,2
142,ENV330Lec1,Hydrology And Water Waste Management,3,"IP, IP",MGT-205,M,6:00:00 PM,8:59:00 PM,21,1
143,ENV405Lec1,Toxicology,3,"Al Madhi, Sawsan",MGT-103,R,9:00:00 AM,11:59:00 AM,30,5
144,ENV416Lec1,Epidemiology,3,"Price, Malcolm",MGT-206,T,3:00:00 PM,5:59:00 PM,30,9
145,FIN202Lec1,Principles Of Finance,3,"IP, IP",MGT-201,W,9:00:00 AM,11:59:00 AM,45,10
146,FIN202Lec2,Principles Of Finance,3,"IP, IP",MGT-202,M,3:00:00 PM,5:59:00 PM,45,5
147,FIN310Lec1,Corporate Finance,3,"IP, IP",MGT-204,R,3:00:00 PM,5:59:00 PM,40,30
148,FIN320Lec1,Financial Statement Analysis,3,"IP, IP",MGT-101,M,3:00:00 PM,5:59:00 PM,42,21
149,FIN322Lec1,Financial Markets And Institutions,3,"IP, IP",MGT-107,R,6:00:00 PM,8:59:00 PM,35,27
150,GED101LecE-101,Applications Of Computer Software,3,"IP, IP",MGT-104,T,11:00:00 AM,12:59:00 PM,24,24
,,,,"IP, IP",General Computer Lab,R,10:00:00 AM,11:59:00 AM,24,24
151,GED101LecE-102,Applications Of Computer Software,3,"IP, IP",MGT-104,T,11:00:00 AM,12:59:00 PM,24,24
,,,,"IP, IP",e-Business Computer Lab,W,1:00:00 PM,2:59:00 PM,24,24
152,GED101LecE-201,Applications Of Computer Software,3,"IP, IP",MGT-104,M,9:00:00 AM,10:59:00 AM,24,13
,,,,"IP, IP",e-Business Computer Lab,T,1:00:00 PM,2:59:00 PM,24,13
153,GED101LecE-202,Applications Of Computer Software,3,"IP, IP",MGT-104,M,9:00:00 AM,10:59:00 AM,24,24
,,,,"IP, IP",e-Business Computer Lab,W,9:00:00 AM,10:59:00 AM,24,24
154,GED101LecE-301,Applications Of Computer Software,3,"IP, IP",General Computer Lab,M,3:00:00 PM,4:59:00 PM,24,23
,,,,"IP, IP",MGT-209,T,3:00:00 PM,4:59:00 PM,24,23
155,GED101LecE-302,Applications Of Computer Software,3,"IP, IP",MGT-209,T,3:00:00 PM,4:59:00 PM,24,24
,,,,"IP, IP",General Computer Lab,R,3:00:00 PM,4:59:00 PM,24,24
156,GED101LecE-401,Applications Of Computer Software,3,"IP, IP",General Computer Lab,M,1:00:00 PM,2:59:00 PM,24,4
,,,,"IP, IP",MGT-104,W,5:00:00 PM,6:59:00 PM,24,4
157,GED101LecE-402,Applications Of Computer Software,3,"IP, IP",e-Business Computer Lab,T,7:00:00 PM,8:59:00 PM,24,1
,,,,"IP, IP",MGT-104,W,5:00:00 PM,6:59:00 PM,24,1
